iter	Passed	Remaining
805	2921	703
806	2925	699
807	2928	695
808	2931	692
809	2934	688
810	2937	684
811	2940	680
812	2943	677
813	2947	673
814	2950	669
815	2953	666
816	2956	662
817	2959	658
818	2962	654
819	2966	651
820	2968	647
821	2972	643
822	2975	639
823	2978	636
824	2982	632
825	2985	628
826	2988	625
827	2991	621
828	2995	617
829	2998	614
830	3002	610
831	3005	606
832	3008	603
833	3012	599
834	3015	595
835	3018	592
836	3022	588
837	3025	584
838	3028	581
839	3031	577
840	3035	573
841	3038	570
842	3041	566
843	3044	562
844	3047	559
845	3051	555
846	3054	551
847	3058	548
848	3061	544
849	3064	540
850	3067	537
851	3071	533
852	3074	529
853	3077	526
854	3080	522
855	3083	518
856	3086	515
857	3089	511
858	3092	507
859	3096	504
860	3099	500
861	3102	496
862	3106	493
863	3109	489
864	3113	485
865	3116	482
866	3119	478
867	3121	474
868	3125	471
869	3128	467
870	3131	463
871	3134	460
872	3137	456
873	3140	452
874	3143	449
875	3146	445
876	3149	441
877	3152	438
878	3155	434
879	3159	430
880	3162	427
881	3166	423
882	3170	420
883	3173	416
884	3177	412
885	3180	409
886	3182	405
887	3185	401
888	3189	398
889	3192	394
890	3195	390
891	3198	387
892	3201	383
893	3205	380
894	3208	376
895	3211	372
896	3215	369
897	3218	365
898	3222	362
899	3226	358
900	3229	354
901	3233	351
902	3235	347
903	3237	343
904	3240	340
905	3244	336
906	3247	332
907	3250	329
908	3253	325
909	3257	322
910	3260	318
911	3262	314
912	3266	311
913	3269	307
914	3272	304
915	3276	300
916	3279	296
917	3282	293
918	3285	289
919	3288	285
920	3292	282
921	3296	278
922	3299	275
923	3302	271
924	3305	267
925	3308	264
926	3311	260
927	3315	257
928	3318	253
929	3321	249
930	3325	246
931	3328	242
932	3331	239
933	3334	235
934	3337	232
935	3340	228
936	3343	224
937	3346	221
938	3350	217
939	3353	214
940	3356	210
941	3359	206
942	3363	203
943	3365	199
944	3368	196
945	3371	192
946	3375	188
947	3378	185
948	3381	181
949	3384	178
950	3388	174
951	3391	170
952	3394	167
953	3397	163
954	3400	160
955	3403	156
956	3406	153
957	3410	149
958	3413	145
959	3416	142
960	3419	138
961	3422	135
962	3425	131
963	3428	128
964	3432	124
965	3435	120
966	3438	117
967	3441	113
968	3444	110
969	3447	106
970	3450	103
971	3454	99
972	3457	95
973	3460	92
974	3463	88
975	3466	85
976	3469	81
977	3472	78
978	3475	74
979	3478	70
980	3481	67
981	3484	63
982	3487	60
983	3490	56
984	3492	53
985	3496	49
986	3499	46
987	3502	42
988	3505	38
989	3508	35
990	3511	31
991	3515	28
992	3518	24
993	3522	21
994	3525	17
995	3528	14
996	3531	10
997	3534	7
998	3537	3
999	3540	0
